$init_objectState	DEGENERATE	-	-
ExternFunctionCall_eval_lctk	DEGENERATE	-	-
$annotationList_of_parameterIR	YES	eqs=1 rules=1 u=0 k=0 vars=5 owise=0	0.4
$ctk_of_typedExpressionIR	YES	eqs=1 rules=1 u=0 k=0 vars=3 owise=0	0.4
$direction_of_parameterIR	YES	eqs=1 rules=1 u=0 k=0 vars=5 owise=0	0.4
$empty_map_callableId_callableDef	YES	eqs=1 rules=1 u=0 k=0 vars=0 owise=0	0.4
$empty_map_callableId_callableTypeDefIR	YES	eqs=1 rules=1 u=0 k=0 vars=0 owise=0	0.4
$empty_map_callableId_constructorDef	YES	eqs=1 rules=1 u=0 k=0 vars=0 owise=0	0.4
$empty_map_constructorId_constructorTypeDefIR	YES	eqs=1 rules=1 u=0 k=0 vars=0 owise=0	0.4
$empty_map_id_parserStateIR	YES	eqs=1 rules=1 u=0 k=0 vars=0 owise=0	0.4
$empty_map_id_value	YES	eqs=1 rules=1 u=0 k=0 vars=0 owise=0	0.4
$empty_map_id_varTypeIR	YES	eqs=1 rules=1 u=0 k=0 vars=0 owise=0	0.4
$empty_map_objectId_object	YES	eqs=1 rules=1 u=0 k=0 vars=0 owise=0	0.4
$empty_map_typeId_typeDefIR	YES	eqs=1 rules=1 u=0 k=0 vars=0 owise=0	0.4
$empty_map_typeId_typeIR	YES	eqs=1 rules=1 u=0 k=0 vars=0 owise=0	0.4
$empty_set	YES	eqs=1 rules=1 u=0 k=0 vars=0 owise=0	0.4
$empty_tableContext	YES	eqs=1 rules=1 u=0 k=0 vars=0 owise=0	0.4
$id_of_parameterIR	YES	eqs=1 rules=1 u=0 k=0 vars=5 owise=0	0.4
$invalidate_header	YES	eqs=1 rules=1 u=0 k=0 vars=3 owise=0	0.4
$name_of_parserState	YES	eqs=1 rules=1 u=0 k=0 vars=4 owise=0	0.4
$parameterListIR_of_actionDef	YES	eqs=1 rules=1 u=0 k=0 vars=4 owise=0	0.4
$parameterListIR_of_actionTypeDefIR	YES	eqs=1 rules=1 u=0 k=0 vars=3 owise=0	0.4
$parameterListIR_of_constructorTypeDefIR	YES	eqs=1 rules=1 u=0 k=0 vars=4 owise=0	0.4
$parameterListIR_of_controlApplyMethodDef	YES	eqs=1 rules=1 u=0 k=0 vars=4 owise=0	0.4
$parameterListIR_of_controlApplyMethodTypeIR	YES	eqs=1 rules=1 u=0 k=0 vars=1 owise=0	0.4
$parameterListIR_of_definedFunctionDef	YES	eqs=1 rules=1 u=0 k=0 vars=4 owise=0	0.4
$parameterListIR_of_definedFunctionTypeDefIR	YES	eqs=1 rules=1 u=0 k=0 vars=5 owise=0	0.4
$parameterListIR_of_externFunctionDef	YES	eqs=1 rules=1 u=0 k=0 vars=3 owise=0	0.4
$parameterListIR_of_externFunctionTypeDefIR	YES	eqs=1 rules=1 u=0 k=0 vars=5 owise=0	0.4
$parameterListIR_of_externMethodDef	YES	eqs=1 rules=1 u=0 k=0 vars=4 owise=0	0.4
$parameterListIR_of_parserApplyMethodDef	YES	eqs=1 rules=1 u=0 k=0 vars=3 owise=0	0.4
$parameterListIR_of_parserApplyMethodTypeIR	YES	eqs=1 rules=1 u=0 k=0 vars=1 owise=0	0.4
$parameterListIR_of_tableApplyMethodDef	YES	eqs=1 rules=1 u=0 k=0 vars=1 owise=0	0.4
$parameterListIR_of_tableApplyMethodTypeDefIR	YES	eqs=1 rules=1 u=0 k=0 vars=1 owise=0	0.4
$set_priority_of_tableEntryIR	YES	eqs=1 rules=1 u=0 k=0 vars=6 owise=0	0.4
$tableActionReferenceIR_of_tableActionIR	YES	eqs=1 rules=1 u=0 k=0 vars=4 owise=0	0.4
$tableEntryPriorityOptIR_of_tableEntryIR	YES	eqs=1 rules=1 u=0 k=0 vars=5 owise=0	0.4
$typeIR_of_parameterIR	YES	eqs=1 rules=1 u=0 k=0 vars=5 owise=0	0.4
$type_of_typedExpressionIR	YES	eqs=1 rules=1 u=0 k=0 vars=3 owise=0	0.4
$type_of_typedLvalueIR	YES	eqs=1 rules=1 u=0 k=0 vars=2 owise=0	0.4
$empty_callableDefEnv	YES	eqs=2 rules=2 u=0 k=0 vars=0 owise=0	0.4
$empty_callableTypeDefEnv	YES	eqs=2 rules=2 u=0 k=0 vars=0 owise=0	0.4
$empty_constructorDefEnv	YES	eqs=2 rules=2 u=0 k=0 vars=0 owise=0	0.4
$empty_constructorTypeDefEnv	YES	eqs=2 rules=2 u=0 k=0 vars=0 owise=0	0.4
$empty_frame	YES	eqs=2 rules=2 u=0 k=0 vars=0 owise=0	0.4
$empty_stateEnv	YES	eqs=2 rules=2 u=0 k=0 vars=0 owise=0	0.4
$empty_store	YES	eqs=2 rules=3 u=1 k=1 vars=1 owise=0	0.4
$empty_theta	YES	eqs=2 rules=2 u=0 k=0 vars=0 owise=0	0.4
$empty_typeDefEnv	YES	eqs=2 rules=2 u=0 k=0 vars=0 owise=0	0.4
$empty_typeFrame	YES	eqs=2 rules=2 u=0 k=0 vars=0 owise=0	0.4
$flatten_constOpt	YES	eqs=2 rules=2 u=0 k=0 vars=0 owise=0	0.4
$flatten_objectInitializerOptIR	YES	eqs=2 rules=2 u=0 k=0 vars=1 owise=0	0.4
$is_some_	YES	eqs=2 rules=2 u=0 k=0 vars=1 owise=0	0.4
$ite_boolValue	YES	eqs=2 rules=2 u=0 k=0 vars=2 owise=0	0.4
$ite_callTargetMatch	YES	eqs=2 rules=2 u=0 k=0 vars=2 owise=0	0.4
$ite_controlPlaneNameIR	YES	eqs=2 rules=2 u=0 k=0 vars=2 owise=0	0.4
$ite_int	YES	eqs=2 rules=2 u=0 k=0 vars=2 owise=0	0.4
$ite_text	YES	eqs=2 rules=2 u=0 k=0 vars=2 owise=0	0.4
$opt_as_seq__nameIR	YES	eqs=2 rules=2 u=0 k=0 vars=1 owise=0	0.4
$parameterListIR_of_externMethodTypeDefIR	YES	eqs=2 rules=2 u=0 k=0 vars=5 owise=0	0.4
$type_of_externMethodPrototypeIR	YES	eqs=2 rules=2 u=0 k=0 vars=6 owise=0	0.4
$callable_builtinMethod	YES	eqs=3 rules=3 u=0 k=0 vars=1 owise=0	0.4
$constructorTypeDef_of_externConstructorPrototypeIR	YES	eqs=3 rules=4 u=1 k=1 vars=10 owise=0	0.5
$constructor_of_externConstructorPrototypeIR	YES	eqs=3 rules=4 u=1 k=1 vars=10 owise=0	0.5
$empty_constraint	YES	eqs=3 rules=3 u=0 k=0 vars=3 owise=0	0.4
$filter__externConstructorOrMethodPrototype	YES	eqs=3 rules=5 u=2 k=2 vars=4 owise=0	0.5
$filter__id	YES	eqs=3 rules=5 u=2 k=2 vars=4 owise=0	0.5
$filter__tableKeyIR	YES	eqs=3 rules=5 u=2 k=2 vars=4 owise=0	0.5
$filter__tableProperty	YES	eqs=3 rules=5 u=2 k=2 vars=4 owise=0	0.5
$filter__tablePropertyIR	YES	eqs=3 rules=5 u=2 k=2 vars=4 owise=0	0.5
$instantiable_extern	YES	eqs=3 rules=3 u=0 k=0 vars=2 owise=0	0.4
$is_lpm_key_prime	YES	eqs=3 rules=4 u=1 k=1 vars=2 owise=0	0.5
$join_tableEntryState	YES	eqs=3 rules=3 u=0 k=0 vars=1 owise=0	0.4
$un_lnot	YES	eqs=3 rules=3 u=0 k=0 vars=1 owise=0	0.4
$callableId_IR	YES	eqs=4 rules=6 u=2 k=2 vars=11 owise=0	0.5
$concat_text	YES	eqs=4 rules=4 u=0 k=0 vars=5 owise=0	0.5
$exists_	YES	eqs=4 rules=4 u=0 k=0 vars=3 owise=0	0.4
$flatten_blockElementStatementList	YES	eqs=4 rules=4 u=0 k=0 vars=5 owise=0	0.4
$flatten_controlLocalDeclarationList	YES	eqs=4 rules=4 u=0 k=0 vars=5 owise=0	0.4
