$init_objectState	DEGENERATE	-	-
ExternFunctionCall_eval_lctk	DEGENERATE	-	-
$annotationList_of_parameterIR	YES	eqs=1 rules=1 u=0 k=0 vars=5 owise=0	0.6
$ctk_of_typedExpressionIR	YES	eqs=1 rules=1 u=0 k=0 vars=3 owise=0	0.4
$direction_of_parameterIR	YES	eqs=1 rules=1 u=0 k=0 vars=5 owise=0	0.4
$empty_map_callableId_callableDef	YES	eqs=1 rules=1 u=0 k=0 vars=0 owise=0	0.4
$empty_map_callableId_callableTypeDefIR	YES	eqs=1 rules=1 u=0 k=0 vars=0 owise=0	0.4
$empty_map_callableId_constructorDef	YES	eqs=1 rules=1 u=0 k=0 vars=0 owise=0	0.4
$empty_map_constructorId_constructorTypeDefIR	YES	eqs=1 rules=1 u=0 k=0 vars=0 owise=0	0.4
$empty_map_id_parserStateIR	YES	eqs=1 rules=1 u=0 k=0 vars=0 owise=0	0.4
$empty_map_id_value	YES	eqs=1 rules=1 u=0 k=0 vars=0 owise=0	0.4
$empty_map_id_varTypeIR	YES	eqs=1 rules=1 u=0 k=0 vars=0 owise=0	0.4
$empty_map_objectId_object	YES	eqs=1 rules=1 u=0 k=0 vars=0 owise=0	0.4
$empty_map_typeId_typeDefIR	YES	eqs=1 rules=1 u=0 k=0 vars=0 owise=0	0.4
$empty_map_typeId_typeIR	YES	eqs=1 rules=1 u=0 k=0 vars=0 owise=0	0.4
$empty_set	YES	eqs=1 rules=1 u=0 k=0 vars=0 owise=0	0.4
$empty_tableContext	YES	eqs=1 rules=1 u=0 k=0 vars=0 owise=0	0.4
$id_of_parameterIR	YES	eqs=1 rules=1 u=0 k=0 vars=5 owise=0	0.4
$invalidate_header	YES	eqs=1 rules=1 u=0 k=0 vars=3 owise=0	0.4
$name_of_parserState	YES	eqs=1 rules=1 u=0 k=0 vars=4 owise=0	0.4
$parameterListIR_of_actionDef	YES	eqs=1 rules=1 u=0 k=0 vars=4 owise=0	0.4
$parameterListIR_of_actionTypeDefIR	YES	eqs=1 rules=1 u=0 k=0 vars=3 owise=0	0.4
$parameterListIR_of_constructorTypeDefIR	YES	eqs=1 rules=1 u=0 k=0 vars=4 owise=0	0.4
$parameterListIR_of_controlApplyMethodDef	YES	eqs=1 rules=1 u=0 k=0 vars=4 owise=0	0.4
$parameterListIR_of_controlApplyMethodTypeIR	YES	eqs=1 rules=1 u=0 k=0 vars=1 owise=0	0.4
$parameterListIR_of_definedFunctionDef	YES	eqs=1 rules=1 u=0 k=0 vars=4 owise=0	0.4
$parameterListIR_of_definedFunctionTypeDefIR	YES	eqs=1 rules=1 u=0 k=0 vars=5 owise=0	0.4
$parameterListIR_of_externFunctionDef	YES	eqs=1 rules=1 u=0 k=0 vars=3 owise=0	0.4
$parameterListIR_of_externFunctionTypeDefIR	YES	eqs=1 rules=1 u=0 k=0 vars=5 owise=0	0.4
$parameterListIR_of_externMethodDef	YES	eqs=1 rules=1 u=0 k=0 vars=4 owise=0	0.4
$parameterListIR_of_parserApplyMethodDef	YES	eqs=1 rules=1 u=0 k=0 vars=3 owise=0	0.4
$parameterListIR_of_parserApplyMethodTypeIR	YES	eqs=1 rules=1 u=0 k=0 vars=1 owise=0	0.4
$parameterListIR_of_tableApplyMethodDef	YES	eqs=1 rules=1 u=0 k=0 vars=1 owise=0	0.4
$parameterListIR_of_tableApplyMethodTypeDefIR	YES	eqs=1 rules=1 u=0 k=0 vars=1 owise=0	0.4
$set_priority_of_tableEntryIR	YES	eqs=1 rules=1 u=0 k=0 vars=6 owise=0	0.4
$tableActionReferenceIR_of_tableActionIR	YES	eqs=1 rules=1 u=0 k=0 vars=4 owise=0	0.4
$tableEntryPriorityOptIR_of_tableEntryIR	YES	eqs=1 rules=1 u=0 k=0 vars=5 owise=0	0.4
$typeIR_of_parameterIR	YES	eqs=1 rules=1 u=0 k=0 vars=5 owise=0	0.4
